series	10000
times	100
chebyt_start	2
sample	mse	loop_ave
2	0.0862231	3.22
3	0.0855232	3.59
4	0.0858096	3.875
5	0.086339	4.16
6	0.0858292	4.425
7	0.0857852	4.60286
8	0.0856674	4.715
9	0.085898	4.95556
10	0.0858224	5.035
11	0.0858147	5.20455
12	0.0859145	5.28
13	0.0861082	5.42615
14	0.0863107	5.49786
15	0.0864079	5.612
16	0.0865289	5.62125
17	0.0865026	5.80059
18	0.0864651	5.84167
19	0.0866023	5.92895
20	0.0867107	5.972
21	0.0866276	6.10571
22	0.0866868	6.11591
23	0.0868003	6.23174
24	0.0868188	6.2825
25	0.0868176	6.3444
26	0.0868614	6.38615
27	0.0869126	6.52963
28	0.0869373	6.53286
29	0.0869904	6.58103
30	0.0870183	6.66867
31	0.0871525	6.76452
32	0.0871321	6.79469
33	0.0871163	6.85061
34	0.0870921	6.93441
35	0.0870843	6.95714
36	0.087135	7.03917
37	0.0871053	7.11757
38	0.0872043	7.13526
39	0.0872563	7.23846
40	0.0872604	7.31575
41	0.0872352	7.37854
42	0.087282	7.40238
43	0.0873333	7.48837
44	0.0874	7.52295
45	0.0874615	7.56756
46	0.0875154	7.67913
47	0.0876297	7.75596
48	0.0876941	7.75125
49	0.0877538	7.88163
50	0.0877709	7.9238
51	0.0878141	8.00745
52	0.0878778	8.08788
53	0.0879263	8.13698
54	0.0879086	8.20407
55	0.0879969	8.29273
56	0.0880765	8.35982
57	0.088111	8.39614
58	0.0881298	8.51914
59	0.0881778	8.57237
60	0.0882403	8.64967
61	0.0882503	8.73
62	0.088305	8.80016
63	0.0883903	8.92444
64	0.0884676	8.99719
65	0.0885129	9.07262
66	0.08858	9.14
67	0.0886082	9.22582
68	0.0890985	9.31603
69	0.0887763	9.40812
70	0.0886894	9.53557
71	0.0887394	9.58648
72	0.0887447	9.74917
73	0.0896246	9.85219
74	0.0888087	9.92986
75	0.0888735	10.0713
76	0.0897938	10.1933
77	0.0889333	10.3519
78	0.0894468	10.4271
79	0.0894679	10.4981
80	0.0903478	10.7565
81	0.0899183	10.9474
82	0.0905255	10.9738
83	0.0900502	11.2069
84	0.0908517	11.3231
85	0.0909187	11.5435
86	0.0918109	11.7056
87	0.0920796	12.0108
88	0.0922476	12.1792
89	0.0943503	12.4683
90	0.0922319	12.6168
91	0.0951174	12.9471
92	0.0952032	13.2441
93	0.0956924	13.3591
94	0.099092	13.9761
95	0.0997409	14.3685
96	0.101562	14.5182
97	0.10644	15.542